□	576630
□	576630
々	7985
〇	33495
〢	563
〣	456
〤	284
〥	81
〦	43
〧	43
〨	64
俊	533831
罔	12974
寇	63157
却	13636799
厨	241365
以	27963704
坳	12209
宿	222472
冥	127186
最	19077013
岸	328251
岛	895816
以	27963704
帆	229356
帽	522069
廉	475795
迥	20027
恩	1164553
惬	3558
拿	4903114
捷	182701
晃	283350
据	10733608
携	276770
携	276770
散	836764
敦	50632
暖	749840
橹	48527
饮	513790
涎	33136
法	3072162
深	3016729
涧	37353
碗	812983
留	2327376
瘪	37303
筲	1650
糊	188680
蜂	202019
恤	245886
脉	400381
卒	113436
词	1083788
獾	55855
趟	463790
射	1049212
镰	14478
飒	25351
驮	54894
魂	458861
鲃	310
鹅	181178
鹮	4087
麸	4050
衄	2914
一丁点	24117
一下	5932374
一下子	585255
一世	134224
一丘之貉	4226
一并	119368
一中一台	6688
一之为甚	46
一干二净	24697
一了百了	7347
一事无成	24281
一些	11583138
一介不取	66
一代不如一代	2679
一并	119368
一来	383661
一来二去	7913
一个人	4476555
一个个	461424
一个劲	61343
一个劲儿	20113
一个巴掌拍不响	4377
一个样	46427
一个萝卜一个坑	1875
一元化	13119
一元复始	1343
一元论	2751
一共	361970
一再	322593
一准	7511
一刀两断	7315
一刀切	44957
一分为二	35977
一分钱一分货	4733
一切	4433800
一刻千金	254
一动不动	64148
一劳永逸	17424
一半	1227406
一半天	854
一去不复返	33637
一反常态	16433
一口	637952
一口吃个胖子	611
一口咬定	12934
一口气	425169
一古脑儿	2671
一句话	833824
一同	369555
一吐为快	4094
一向	430249
一味	216220
一呼百应	16186
一呼百诺	348
一命呜呼	5997
一命归西	453
一命归阴	72
一品锅	746
一哄而散	5287
一哄而起	5777
一唱一和	6344
一唱三叹	880
一问三不知	5191
一回事	114593
一国两制	56483
一团和气	5888
一团漆黑	2204
一团火	10981
一团糟	17049
一堆	340228
一场空	13125
一块儿	67388
一塌糊涂	83540
一尘不染	13935
一壁	1815
一大早	292098
一大早儿	497
一天到晚	53222
一失足成千古恨	3929
一如	76195
一如既往	163595
一孔之见	1272
一字一泪	315
一字不识	1332
一字之师	145
一字千金	2462
一字褒贬	25
一定	9214184
一家之主	6732
一家人	257903
一家子	28860
一审	233908
一寸光阴一寸金	1393
一小撮	98687
一己	26779
一帆风顺	53930
一席之地	57048
一席话	25930
一带	419720
一带而过	2298
一年之计在于春	4596
一年到头	16207
一年半载	9193
一年四季	43493
一年生	6968
一度	658306
一厢情愿	40891
一往情深	13503
一往无前	29334
一往直前	2053
一律	310260
一心	184809
一心一德	338
一心一意	68350
一念之差	9530
一意孤行	22798
一应	11108
一应俱全	49848
一成不变	41173
一手	443206
一手包办	4835
一手遮天	5528
一技之长	24329
一把屎一把尿	1635
一把手	104777
一把抓	14138
一把钥匙开一把锁	1022
一拍即合	21889
一扫而光	12438
一扫而空	11246
一挥而就	1701
一拨儿	1439
一拥而上	23130
一拥而入	1667
一掷千金	12835
一揽子	42944
一败涂地	20903
一文不值	14966
一文不名	2366
一斑	19172
一方面	1023519
一旁	321074
一日三秋	193
一日三餐	26655
一日之计在于晨	1814
一日千里	8175
一旦	1542847
一早	211582
一星半点	3891
一时	658740
一时半刻	3395
一时半晌	118
一时半会	9534
一时半会儿	7270
一时间	462810
一晃	70246
一曝十寒	562
一会儿	653674
一月	281444
一月份	40952
一望无垠	2933
一望无际	20169
一望而知	4158
一朝一夕	21391
一木难支	24
一本正经	36785
一本万利	5842
一东一西	1138
一板一眼	4971
一板三眼	95
一枝独秀	26857
一柱擎天	3341
一条心	14549
一条道走到黑	1771
一条龙	70557
一概	59440
一概而论	11819
一模一样	111876
一样	6001838
一次函数	1397
一次性	389215
一次方程	2071
一次方程式	102
一步一个脚印	18698
一步登天	7119
一毛不拔	4204
一气	32927
一气之下	31519
一气呵成	25954
一氧化碳	32620
一水儿	2382
一决雌雄	3444
一波三折	26551
一派胡言	5319
一流	428214
一清二楚	34698
一清二白	1191
一清如水	60
一清早	5280
一准	7511
一溜烟	14950
一潭死水	6732
一炮打响	6583
一无所有	62769
一无所获	35037
一无所知	52020
一无所闻	187
一无所长	855
一无是处	21757
一物降一物	4331
一琴一鹤	13
一生	1180361
一生一世	54091
一病不起	6986
一瘸一拐	13336
一发不可收拾	24034
一发而不可收	3081
一盘散沙	10010
一目了然	63227
一目十行	1904
一目了然	63227
一直	8013106
一相情愿	3367
一眨眼	28998
一眼	1011048
一瞥	35091
一瞬	47431
一瞬间	245051
一知半解	11670
一石二鸟	3962
一窝蜂	20225
一穷二白	9404
一窍不通	15865
一笑了之	7760
一笑置之	11148
一笔不苟	214
一笔勾销	7324
一笔抹杀	658
一等奖	242706
一箭之仇	10702
一箭双雕	7374
一筹莫展	23376
一系列	1221597
一纸空文	10483
一统	29238
一丝一毫	16881
一丝不挂	20180
一丝不苟	42449
一网打尽	31888
一线	493602
一线希望	17842
一总	4582
一声不吭	21641
一声不响	9693
一股脑	12809
一股脑儿	6651
一脉相承	24243
一致	1508397
一致性	72034
一举	276444
一举一动	65820
一举两得	28087
一般	4685653
一般来说	148212
一般来讲	23962
一般性	50282
一般而言	43318
一般见识	13048
一般说来	31891
一落千丈	17397
一叶知秋	2128
一叶障目	2554
一行	434031
一衣带水	4414
一见倾心	10626
一见如故	14734
一见钟情	73361
一视同仁	39704
一览	34407
一览无遗	9346
一览无余	16928
一触即溃	1515
一触即发	28265
一言一动	329
一言一行	18541
一言不发	47071
一言九鼎	22421
一言以蔽之	8016
一言为定	7375
一言难尽	9101
一语不发	4492
一语中的	10319
一语破的	700
一语道破	14869
一语双关	4467
一诺千金	5310
一贫如洗	11726
一贯	314796
一走了之	13375
一起	8424127
一路	950986
一路平安	23586
一路顺风	36905
一路风尘	2103
一蹴可几	12
一蹴而就	29094
一蹶不振	19255
一身	592086
一身是胆	411
一身汗	21551
一辈子	857789
一转眼	28624
一通百通	1781
一连	114825
一连串	108220
一过性	19
一道	963824
一边	1832625
一边倒	26721
一部分	1258550
一醉方休	5155
一针见血	40060
一锤子买卖	2806
一锤定音	10971
一钱不值	4328
一钱如命	43
一错再错	9196
一锅端	3473
一锅粥	8229
一门心思	15919
一阵	924382
一阵子	119336
一霎	9755
一霎间	1846
一面	969941
一面之交	1742
一面之词	5549
一面倒	5011
一头	426695
一颦一笑	9602
一饮而尽	16800
一马平川	6366
一马当先	18739
一骨碌	5404
一体	477318
一体化	344743
一哄而散	5287
一鳞半爪	1435
一鸣惊人	33127
一点一滴	48915
一点儿	129371
一鼓作气	22112
一鼻孔出气	610
一齐	183522
丁	852679
丁	852679
丁丁	85832
丁丁	85832
丁丑	5779
丁二烯	2946
丁亥	9096
丁克	2054
丁冬	2839
丁卯	7591
丁基	7131
丁基	7131
丁夫	33
丁字尺	183
丁字街	433
丁宁	10319
丁巳	5711
丁未	6090
丁汝昌	2371
丁烯	1061
丁烷	2184
丁玲	15159
丁磊	20938
丁肇中	3718
丁酉	6214
丁醇	3506
丁醛	281
丁零当啷	346
丁青	691
丁青县	330
丁香	35147
丂	67
七七事变	5310
七上八下	10555
七上八落	380
七分之一	3998
七台河	5863
七台河市	3361
七嘴八舌	17991
七夕	39557
七巧板	2276
七弦琴	1015
七律	13111
七情	7357
七扭八歪	803
七拼八凑	1886
七星	62760
七星区	383
七曜	1441
七月	236824
七月份	28302
七河州	14
七窍	7309
七窍生烟	3715
七级浮屠	296
七美乡	36
七老八十	3602
七声	1908
七叶树	771
七荤八素	3767
七边形	62
七里河	3399
七里河区	3928
七零八碎	744
七零八落	11843
丄	981
丅	1546
丆	81
万俟	2038
丈	301535
丈人	6782
丈夫	1090817
丈母	4261
丈母娘	30214
丈量	17094
三三两两	20953
三下五除二	5838
三下两下	2714
三不知	881
三不管	3399
三中全会	119302
三九天	2271
三五成群	15164
三井	1656
三亚	192638
三亚市	21233
三人成虎	1145
三人行	16735
三令五申	13515
三伏	5077
三伏天	4532
三位一体	33194
三侠五义	598
三元区	576
三光	8176
三光政策	1835
三分之一	220286
三十六计	7557
三十而立	6508
三原	4481
三原县	1834
三叉戟	17777
三叉神经	12638
三反	20071
三句话不离本行	699
三台	39169
三台县	1661
三合一	21220
三合土	1572
三合星	28
三合会	2348
三合院	650
三和弦	1011
三国	845640
三国史记	254
三国志	20813
三国演义	33362
三天两头	15138
三姑六婆	3930
三字经	15310
三字经	15310
三家村	5938
三寸不烂之舌	3695
三岔口	8498
三岛由纪夫	442
三峡	332086
三峡镇	78
三废	12486
三弦	5472
三从四德	5229
三心二意	8338
三思而后行	10831
三思而行	5314
三教九流	5724
三明	28469
三明市	11359
三明治	36402
三星	590745
三星	590745
三春	4995
三昧	4603
三更	22635
三更半夜	18814
三月	306855
三月份	40456
三月街	885
三朋四友	413
三极管	3819
三权分立	6472
三次元	33560
三段论	3373
三民主义	12865
三民区	141
三民乡	27
三水	26319
三水区	7972
三水县	171
三江侗族自治县	644
三河	12594
三河市	2672
三河县	530
三洋	31930
三浦	621
三湾	2949
三湾乡	81
三瓦两舍	12
三生有幸	4733
三田	118
三田	118
三番五次	11899
三叠纪	3486
三百六十行	2885
三皇	4943
三皇五帝	2638
三相点	196
三棱镜	2790
三穗	2650
三穗县	2251
三级跳	8627
三级跳远	6551
三维	127743
三维空间	8758
三纲五常	2689
三义乡	58
三联书店	20
三脚两步	533
三脚架	12412
三脚猫	3172
三色堇	1842
三芝乡	62
三茶六饭	15
三菱	88687
三叶草	27605
三叶虫	1771
三藏	12644
三藩之乱	685
三藩市	2526
三亲六故	135
三角	342891
三角债	7333
三角函数	6943
三角学	235
三角座	108
三角形	76296
三角恋爱	1909
三角板	1757
三角法	182
三角洲	16971
三角肌	4397
三角裤	5335
三角铁	1483
三言两句	132
三言两语	14427
三贞九烈	290
三资企业	29723
三跪九叩	1751
三军	56137
三轮车	124590
三通	42801
三部曲	37031
三都水族自治县	2967
三都县	1071
三里屯	28301
三里河	1967
三键	612
三长两短	7696
三门	34063
三门峡	18840
三门峡市	5692
三门县	1832
三只手	4890
三项式	361
三头六臂	7280
三顾茅庐	4527
三魂七魄	1564
三鲜	14329
上	66509925
上	66509925
上下	832982
上下其手	3428
上下文	15311
上下班	71371
上不得台盘	84
上乘	50413
上交	98224
上代	8499
上任	183633
上位	65661
上来	981435
上供	8127
上前	333908
上午	2861780
上半夜	3638
上半天	8054
上半年	696204
上半晌	94
上半身	36899
上去	834739
上口	12897
上古	50246
上台	206040
上司	150504
上合	14939
上吊	32468
上同调	52
上吐下泻	8661
上周	793068
上品	31529
上唇	10179
上回	33349
上坡	19693
上坡路	2286
上城区	24625
上报	220031
上场	342034
